"nova_long","co_unidade","co_cnes","nu_cnpj_ma","tp_pfpj","nivel_dep","no_razao_s","no_fantasi","no_logrado","nu_enderec","no_complem","no_bairro","co_cep","nu_cnpj","co_cliente","tp_unidade","co_estado_","co_municip","co_motivo_","nu_latitud","nu_longitu","co_naturez","tipo_geo","dep_admin","tp_unida_1","ajuste_geo","cd_setor","nova_lat","no_municipio","sg_uf","lat","lon","precisao","tipo_resultado","desvio_metros","endereco_encontrado","contagem_cnefe","cd_setor_verdadeiro","cd_setor_resultante","med_lat","med_lon","dist_mediana","desvio_metros_final","rn","distancia_metros_setor","setor_correspondente","setor_vizinho_verdadeiro"
"-46.616583","3513802801051",2801051,"46523247000193",3,3,"PREFEITURA DO MUNICIPIO DE DIADEMA","UPA CENTRO","RUA TIRADENTES","100","NA","CENTRO",9911160,"NA",3,73,35,351380,"NA","-23.686166872981772","-46.616583466529846",1244,0,1,6,0,"351380105000538","-23.686167","Diadema","SP","-23.68653678894043","-46.61654281616211","numero","dn03","6","RUA TIRADENTES, 100 - CENTRO, DIADEMA - SP, 09911-190",1,"351380105000538","351380105000561","-23.68653678894043","-46.61654281616211","0","41.32180374","1","2.44219188",False,True
"-46.591767","3513802801086",2801086,"46523247000193",3,3,"PREFEITURA DO MUNICIPIO DE DIADEMA","UBS CASA GRANDE SAUDE DA FAMILIA","RUA MEM DE SA","280","NA","JARDIM CASA GRANDE",9961170,"NA",3,2,35,351380,"NA","-23.6993335","-46.59176685802838",1244,0,1,1,0,"351380105000220","-23.699334","Diadema","SP","-23.699546813964844","-46.59177780151367","numero","dn04","6","RUA MEM DE SA, 280 - CASA GRANDE, DIADEMA - SP",1,"351380105000220","351380105000220","-23.699546813964844","-46.59177780151367","0","23.68940839","1","0",True,NULL
"-46.62839","3513802801094",2801094,"46523247000193",3,3,"PREFEITURA DO MUNICIPIO DE DIADEMA","UBS CENTRO","AVN SAO JOSE","472","NA","CENTRO",9910380,"NA",3,2,35,351380,"NA","-23.686","-46.623",1244,0,1,1,1,"351380105000998","-23.689086","Diadema","SP","-23.689075469970703","-46.628292083740234","numero","dn03","6","AVENIDA SAO JOSE, 472 - CENTRO, DIADEMA - SP, 09910-380",1,"351380105000998","351380105000998","-23.689075469970703","-46.628292083740234","0","10.03890783","1","0",True,NULL
"-46.626631","3513802801108",2801108,"46523247000193",3,3,"PREFEITURA DO MUNICIPIO DE DIADEMA","UBS PARQUE REID SAUDE DA FAMILIA","RUA SERRA DE MARACUJA","49","NA","PARQUE REID",9920040,"NA",3,2,35,351380,"NA","-23.686","-46.623",1244,0,1,1,1,"351380105000953","-23.676691","Diadema","SP","-23.676620483398438","-46.626251220703125","numero","dn04","6","RUA SERRA DE MARACUJA, 49 - CENTRO, DIADEMA - SP",1,"351380105000953","351380105000953","-23.676620483398438","-46.626251220703125","0","39.46182925","1","0",True,NULL
"-46.584106","3513802801116",2801116,"46523247000193",3,3,"PREFEITURA DO MUNICIPIO DE DIADEMA","UBS VILA SAO JOSE SAUDE DA FAMILIA","RUA BARAO DE IGUAPE","98","NA","VIL SAO JOSE",9950430,"NA",3,2,35,351380,"NA","-23.6774125","-46.5849006",1244,0,1,1,1,"351380105000390","-23.677685","Diadema","SP","-23.677486419677734","-46.58359909057617","numero","dn04","6","RUA BARAO DE IGUAPE, 98 - PIRAPORINHA, DIADEMA - SP",1,"351380105000390","351380105000390","-23.677486419677734","-46.58359909057617","0","56.14534115","1","0",True,NULL
"-46.595611","3513802801124",2801124,"46523247000193",3,3,"PREFEITURA DO MUNICIPIO DE DIADEMA","UBS VILA NOGUEIRA SAUDE DA FAMILIA","RUA SEBASTIAO FERNANDES TOURINHO","285","NA","VIL NOGUEIRA",9951040,"NA",3,2,35,351380,"NA","-23.6883226","-46.5954853",1244,0,1,1,1,"351380105000394","-23.688413","Diadema","SP","-23.6883544921875","-46.59560012817383","numero","dn04","6","RUA SEBASTIAO FERNANDES TOURINHO, 285 - VILA NOGUEIRA, DIADEMA - SP",1,"351380105000394","351380105000394","-23.6883544921875","-46.59560012817383","0","6.59929663","1","0",True,NULL
"-46.602332","3513802801132",2801132,"46523247000193",3,3,"PREFEITURA DO MUNICIPIO DE DIADEMA","UBS JARDIM ABC SAUDE DA FAMILIA","RUA DAS AMEIXEIRAS","679","NA","JD ABC",9940400,"NA",3,2,35,351380,"NA","-23.686","-46.623",1244,0,1,1,1,"351380105000101","-23.665401","Diadema","SP","-23.664604463092317","-46.59936844802311","numero_aproximado","da04","6","RUA DAS AMEIXEIRAS, 679 (aprox) - TABOAO, DIADEMA - SP",1,"351380105000101","351380105000951","-23.664604463092317","-46.59936844802311","0","314.5487889","1","92.54933331",False,False
"-46.604824","3513802801140",2801140,"46523247000193",3,3,"PREFEITURA DO MUNICIPIO DE DIADEMA","UBS JARDIM CANHEMA SAUDE DA FAMILIA","RUA 22 DE ABRIL","113","NA","JD CANHEMA",9941460,"NA",3,2,35,351380,"NA","-23.686","-46.623",1244,0,1,1,1,"351380105000381","-23.67801","Diadema","SP","-23.690636561644613","-46.61031392628862","municipio","dm01","3924","DIADEMA - SP",184445,"351380105000381","351380105000700","-23.690636561644613","-46.61031392628862","0","1511.21458095","1","1446.52872088",False,False
"-46.613337","3513802801159",2801159,"46523247000193",3,3,"PREFEITURA DO MUNICIPIO DE DIADEMA","UBS JARDIM INAMAR SAUDE DA FAMILIA","RUA JOSE VICENTE","122","NA","JD INAMAR",9973020,"NA",3,2,35,351380,"NA","-23.71704825","-46.61333669416196",1244,0,1,1,0,"351380105000283","-23.717048","Diadema","SP","-23.71714210510254","-46.61330795288086","numero","dn04","6","RUA JOSE VICENTE, 122 - INAMAR, DIADEMA - SP",1,"351380105000283","351380105000283","-23.71714210510254","-46.61330795288086","0","10.87383533","1","0",True,NULL
"-46.617645","3513802801167",2801167,"46523247000193",3,3,"PREFEITURA DO MUNICIPIO DE DIADEMA","UBS JARDIM PAINEIRAS SAUDE DA FAMILIA","RUA JAVARI","635","NA","JD PAINEIRAS",9932210,"NA",3,2,35,351380,"NA","-23.6656405","-46.61606",1244,0,1,1,1,"351380105000374","-23.664817","Diadema","SP","-23.66458511352539","-46.61768341064453","numero","dn04","6","RUA JAVARI, 635 - TABOAO, DIADEMA - SP",1,"351380105000374","351380105000374","-23.66458511352539","-46.61768341064453","0","26.07969562","1","0",True,NULL
"-46.599918","3513802801175",2801175,"46523247000193",3,3,"PREFEITURA DO MUNICIPIO DE DIADEMA","UBS JARDIM RUYCE SAUDE DA FAMILIA","AV ELDORADO","817","NA","JARDIM RUYCE",9961470,"NA",3,2,35,351380,"NA","-23.707829","-46.6063195",1244,0,1,1,1,"351380105000846","-23.710703","Diadema","SP","-23.710918426513672","-46.60019302368164","numero","dn03","6","AVENIDA ELDORADO, 817 - JARDIM RUYCE, DIADEMA - SP, 09961-540",1,"351380105000846","351380105000846","-23.710918426513672","-46.60019302368164","0","36.84835652","1","0",True,NULL
"-46.622844","3513802801183",2801183,"46523247000193",3,3,"PREFEITURA DO MUNICIPIO DE DIADEMA","UBS PARQUE REAL SAUDE DA FAMILIA","RUA ODETE AMARAL DE OLIVEIRA","129","NA","PRQ REAL",9990155,"NA",3,2,35,351380,"NA","-23.686","-46.623",1244,0,1,1,1,"351380105000675","-23.693584","Diadema","SP","-23.693252563476562","-46.62314987182617","numero","dn04","6","RUA ODETE AMARAL DE OLIVEIRA, 129 - CONCEICAO, DIADEMA - SP",1,"351380105000675","351380105000675","-23.693252563476562","-46.62314987182617","0","48.25152903","1","0",True,NULL
"-46.599147","3513802801191",2801191,"46523247000193",3,3,"PREFEITURA DO MUNICIPIO DE DIADEMA","UBS PROMISSAO SAUDE DA FAMILIA","RUA PRUDENTE DE MORAIS","300","NA","JARDIM CASA GRANDE",9960500,"NA",3,2,35,351380,"NA","-23.686","-46.623",1244,0,1,1,1,"351380105000237","-23.695878","Diadema","SP","-23.695951461791992","-46.59915542602539","numero","dn04","6","RUA PRUDENTE DE MORAIS, 300 - CASA GRANDE, DIADEMA - SP",1,"351380105000237","351380105000237","-23.695951461791992","-46.59915542602539","0","8.2135207","1","0",True,NULL
"-46.610028","3513802801205",2801205,"46523247000193",3,3,"PREFEITURA DO MUNICIPIO DE DIADEMA","UBS SERRARIA","AV LICO MAIA","803","NA","SERRARIA",9981420,"NA",3,2,35,351380,"NA","-23.686","-46.623",1244,0,1,1,1,"351380105000466","-23.699036","Diadema","SP","-23.699077606201172","-46.61000061035156","numero","dn03","6","AVENIDA LICO MAIA, 803 - SERRARIA, DIADEMA - SP, 09981-030",1,"351380105000466","351380105000466","-23.699077606201172","-46.61000061035156","0","5.40192431","1","0",True,NULL
"-46.589364","3513802801213",2801213,"46523247000193",3,3,"PREFEITURA DO MUNICIPIO DE DIADEMA","UBS VILA NOVA CONQUISTA SAUDE DA FAMILIA","AVN PRESIDENTE JUSCELINO","759","NA","PIRAPORINHA",9950810,"NA",3,2,35,351380,"NA","-23.686","-46.623",1244,0,1,1,1,"351380105000995","-23.68301","Diadema","SP","-23.682919974181992","-46.5891218347321","numero_aproximado","da03","7","AVENIDA PRESIDENTE JUSCELINO, 759 (aprox) - PIRAPORINHA, DIADEMA - SP",2,"351380105000995","351380105000995","-23.682919974181992","-46.5891218347321","0","26.61417713","1","0",True,NULL
"-46.624519","3513802801221",2801221,"46523247000193",3,3,"PREFEITURA DO MUNICIPIO DE DIADEMA","UBS MARIA TEREZA SAUDE DA FAMILIA","AVENIDA SINESIO PEREIRA","27","NA","CAMPANARIO",9931375,"NA",3,2,35,351380,"NA","-23.6640548","-46.6240888",1244,0,1,1,1,"351380105000064","-23.663797","Diadema","SP","-23.66804468176664","-46.62282887679996","localidade","db01","858","CAMPANARIO, DIADEMA - SP",13843,"351380105000064","351380105000364","-23.66804468176664","-46.62282887679996","0","502.70829763","1","372.59371878",False,False
"-46.616013","3513802801248",2801248,"46523247000193",3,3,"PREFEITURA DO MUNICIPIO DE DIADEMA","UBS VILA PAULINA SAUDE DA FAMILIA","AVENIDA AFRANIO PEIXOTO","643","NA","VILA PAULINA",9971360,"NA",3,2,35,351380,"NA","-23.686","-46.623",1244,0,1,1,1,"351380105000940","-23.729499","Diadema","SP","-23.73025794153568","-46.618142835121986","numero_aproximado","da04","7","AVENIDA AFRANIO PEIXOTO, 643 (aprox) - ELDORADO, DIADEMA - SP",2,"351380105000940","351380105000806","-23.73025794153568","-46.618142835121986","0","232.64951362","1","133.80967968",False,False
"-46.609552","3513803322041",3322041,"46523247000193",3,3,"PREFEITURA DO MUNICIPIO DE DIADEMA","UBS JARDIM DAS NACOES SAUDE DA FAMILIA","RUA ITALIA","290","NA","JARDIM DAS NACOES",9941030,"NA",3,2,35,351380,"NA","-23.6733104","-46.6097389",1244,0,1,1,1,"351380105000119","-23.673751","Diadema","SP","-23.673847198486328","-46.60951614379883","numero","dn04","6","RUA ITALIA, 290 - TABOAO, DIADEMA - SP",1,"351380105000119","351380105000119","-23.673847198486328","-46.60951614379883","0","11.30287651","1","0",True,NULL
"-46.624804","3513803322092",3322092,"NA",3,1,"CLINICA DE OLHOS DIADEMA SS LTDA","CLINICA DE OLHOS DIADEMA","RUA GRACIOSA","S/N","NA","CENTRO",9910660,"49522741000121",3,62,35,351380,"NA","-23.6904469","-46.6241555",2240,0,2,99,1,"351380105000531","-23.688461","Diadema","SP","-23.690281338161892","-46.62423190364131","logradouro","dl03","251","RUA GRACIOSA - CENTRO, DIADEMA - SP, 09910-660",114,"351380105000531","351380105000002","-23.690281338161892","-46.62423190364131","0","210.6285963","1","183.24299838",False,True
"-46.610021","3513803772683",3772683,"96291141000180",3,3,"SAO PAULO SECRETARIA DA ADMINISTRACAO PENITENCIARIA","CENTRO DE DETENCAO PROVISORIA DE DIADEMA","RUA CARAMURU","1255","NA","VL CONCEICAO",9911510,"96291141013753",2,2,35,351380,"NA","-23.69119145","-46.61002050342972",1023,0,1,1,0,"351380105000350","-23.691191","Diadema","SP","-23.691287358601887","-46.60967890421549","numero","dn04","14","RUA CARAMURU, 1255 - CONCEICAO, DIADEMA - SP",4,"351380105000350","351380105000350","-23.691287358601887","-46.60967890421549","0","36.44420224","1","0",True,NULL
"-46.622732","3513804000099",4000099,"43293604000186",3,3,"SANTA HELENA ASSISTENCIA MEDICA S A","SANTA HELENA ASSISTENCIA MEDICA S A","RUA MANOEL DA NOBREGA","605","NA","VL CONCEICAO",9910720,"43293604000348",3,20,35,351380,"NA","-23.689709","-46.6230891",2054,0,2,4,1,"351380105000528","-23.690327","Diadema","SP","-23.69032859802246","-46.622833251953125","numero","dn04","6","RUA MANOEL DA NOBREGA, 605 - CENTRO, DIADEMA - SP",1,"351380105000528","351380105000528","-23.69032859802246","-46.622833251953125","0","10.31148279","1","0",True,NULL
"-46.617233","3513805851084",5851084,"46523247000193",3,3,"PREFEITURA DO MUNICIPIO DE DIADEMA","QUARTEIRAO DA SAUDE ENGENHEIRO OSVALDO MISSO","AVENIDA ANTONIO PIRANGA","700","NA","CENTRO",9911160,"NA",2,5,35,351380,"NA","-23.686120204058476","-46.61723256111145",1244,0,1,3,0,"351380105000538","-23.68612","Diadema","SP","-23.686248779296875","-46.61842346191406","numero","dn03","6","AVENIDA ANTONIO PIRANGA, 700 - CENTRO, DIADEMA - SP, 09911-160",1,"351380105000538","351380105000538","-23.686248779296875","-46.61842346191406","0","122.06513231","1","0",True,NULL
"-46.617952","3513806221165",6221165,"46523247000193",3,3,"PREFEITURA DO MUNICIPIO DE DIADEMA","CENTRO DE ATENCAO PSICOSSOCIAL III DE DIADEMA SUL OESTE","RUA NELSON RODRIGUES","191","NA","VL CONCEICAO",9911440,"NA",2,70,35,351380,"NA","-23.6927156","-46.6180896",1244,0,1,5,1,"351380105000343","-23.692654","Diadema","SP","-23.692548751831055","-46.6179313659668","numero","dn04","6","RUA NELSON RODRIGUES, 191 - CONCEICAO, DIADEMA - SP",1,"351380105000343","351380105000343","-23.692548751831055","-46.6179313659668","0","11.89017763","1","0",True,NULL
"-46.632286","3513806267521",6267521,"46523247000193",3,3,"PREFEITURA DO MUNICIPIO DE DIADEMA","CENTRO DE ATENCAO PSICOSSOCIAL III DE DIADEMA LESTE","RUA SANTO AMARO","92","NA","CENTRO",9913090,"NA",3,70,35,351380,"NA","-23.686","-46.623",1244,0,1,5,1,"351380105000015","-23.683663","Diadema","SP","-23.683683395385742","-46.632347106933594","numero","dn03","6","RUA SANTO AMARO, 92 - CENTRO, DIADEMA - SP, 09913-090",1,"351380105000015","351380105000015","-23.683683395385742","-46.632347106933594","0","6.62290655","1","0",True,NULL
"-46.62878","3513806480799",6480799,"46523247000193",3,3,"PREFEITURA DO MUNICIPIO DE DIADEMA","CENTRO DE ATENCAO PSICOSSOCIAL INFANTO JUVENIL","RUA COIMBRA","760","NA","CENTRO",9910120,"NA",2,70,35,351380,"NA","-23.697521663190557","-46.62955462932587",1244,0,1,5,1,"351380105000356","-23.697643","Diadema","SP","-23.697240435978443","-46.629195374789894","numero_aproximado","da03","7","RUA COIMBRA, 760 (aprox) - CENTRO, DIADEMA - SP",1,"351380105000356","351380105000477","-23.697240435978443","-46.629195374789894","0","61.58284077","1","44.81637416",False,True
"-46.618561","3513806625843",6625843,"46523247000193",3,3,"PREFEITURA DO MUNICIPIO DE DIADEMA","UBS CONCEICAO","RUA BOROROS","80","NA","CONCEICAO",9990270,"NA",3,2,35,351380,"NA","-23.6984241","-46.6153493",1244,0,1,1,1,"351380105000331","-23.700026","Diadema","SP","-23.69969140368432","-46.61810221439111","numero_aproximado","da03","8","RUA BOROROS, 80 (aprox) - CONCEICAO, DIADEMA - SP",4,"351380105000331","351380105001004","-23.69969140368432","-46.61810221439111","0","59.71838922","1","27.86710043",False,True
"-46.618944","3513806787916",6787916,"NA",3,1,"AMIL SAUDE S A","HOSPITAL ABC UNIDADE AVANCADA PA DIADEMA","AVENIDA ANTONIO PIRANGA","556","NA","CENTRO",9990000,"43358647006303",2,20,35,351380,"8","-23.681837","-46.620974",2062,3,2,4,0,"351380105000538","-23.686446","Diadema","SP","-23.686288833618164","-46.61899185180664","numero","dn03","6","AVENIDA ANTONIO PIRANGA, 556 - CENTRO, DIADEMA - SP, 09911-160",1,"351380105000538","351380105000531","-23.686288833618164","-46.61899185180664","0","18.14270451","1","5.52669505",False,True
"-46.617645","3513806976794",6976794,"46523247000193",3,3,"PREFEITURA MUNICIPAL DE DIADEMA","UPA JARDIM PAINEIRAS","RUA JAVARI","635","NA","JARDIM PAINEIRAS",9932210,"NA",3,73,35,351380,"NA","-23.6656405","-46.61606",1244,0,1,6,1,"351380105000374","-23.664802","Diadema","SP","-23.66458511352539","-46.61768341064453","numero","dn04","6","RUA JAVARI, 635 - TABOAO, DIADEMA - SP",1,"351380105000374","351380105000374","-23.66458511352539","-46.61768341064453","0","24.43192106","1","0",True,NULL
"-46.626568","3513807261012",7261012,"NA",3,1,"INNOVA HOSPITAIS ASSOCIADOS LTDA","INNOVA HOSPITAIS ASSOCIADOS LTDA","RUA SAO JORGE","98","NA","CENTRO",9911070,"8729864000231",3,5,35,351380,"NA","-23.685687","-46.6260308",2062,0,2,3,1,"351380105000002","-23.685945","Diadema","SP","-23.68608856201172","-46.62642288208008","numero","dn03","6","RUA SAO JORGE, 98 - CENTRO, DIADEMA - SP, 09911-070",1,"351380105000002","351380105000002","-23.68608856201172","-46.62642288208008","0","21.75297376","1","0",True,NULL
"-46.618944","3513807778112",7778112,"NA",3,1,"CEMED CARE EMPRESA DE ATENDIMENTO CLINICO GERAL LTDA","CEMED CARE","ANTONIO PIRANGA","556","NA","CENTRO",9911160,"7794623005434",3,20,35,351380,"NA","-23.686446886171417","-46.61894381046295",2062,0,2,4,0,"351380105000538","-23.686447","Diadema","SP","-23.686749183323972","-46.62545073048071","localidade","db01","1360","CENTRO, DIADEMA - SP",27190,"351380105000538","351380105000531","-23.686749183323972","-46.62545073048071","0","663.41640285","1","502.98331927",False,True
"-46.624015","3513809367128",9367128,"46523247000193",3,3,"PREFEITURA DO MUNICIPIO DE DIADEMA","PA ELDORADO","AVENIDA NOSSA SENHORA DOS NAVEGANTES","332","NA","ELDORADO",9972260,"NA",3,73,35,351380,"NA","-23.7174657","-46.6251652",1244,0,1,6,1,"351380105000987","-23.71774","Diadema","SP","-23.71818733215332","-46.62358283996582","numero","dn03","17","AVENIDA NOSSA SENHORA DOS NAVEGANTES, 332 - ELDORADO, DIADEMA - SP, 09972-260",5,"351380105000987","351380105000987","-23.71818733215332","-46.62358283996582","0","66.4060464","1","0",True,NULL
