idx_tratado;idx_bruto;endereco_tratado;endereco_bruto;endereco_tratado_normalizado;endereco_bruto_normalizado;sugestoes_top5_similares;similaridade;lat_tratado;long_tratado;lat_bruto;long_bruto;distancia_metros;cep_tratado;cep_bruto;cep_igual;setor_tratado;setor_bruto;setor_igual;pontuacao_total;nivel_confianca
35;51832;rua bororos 80 conceicao;rua  bororos 480 conceicao;rua bororos 80 conceicao;rua  bororos 480 conceicao;;97,95918367;-23.700.026;-46.615.349;-23.698.266;-46.615.158;196,6699615;9990270;9990270;True;3,5138E+14;3,5138E+14;False;45,45435587;Media
36;61402;avenida antonio piranga 556 centro;avenida  antonio piranga 556 centro;avenida antonio piranga 556 centro;avenida  antonio piranga 556 centro;;100;-23.686.446;-46.620.974;-23.686.288;-46.618.993;202,484237;9990000;9911160;False;3,5138E+14;3,5138E+14;True;85,95031526;Alta
7;115200;rua capibaribe 193 jardim campanario;rua  capibaribe 193 campanario;rua capibaribe 193 jardim campanario;rua  capibaribe 193 campanario;;100;-23.670.447;-46.623.000;-23.670.499;-46.619.981;307,5094902;9930530;9930530;True;3,5138E+14;3,5138E+14;False;43,8498102;Media
13;69982;rua serra de maracuja 49 parque reid;rua  serra de maracuja 49 centro;rua serra de maracuja 49 parque reid;rua  serra de maracuja 49 centro;;87,27272727;-23.676.691;-46.623.000;-23.676.620;-46.626.252;331,2622804;9920040;9920040;True;3,5138E+14;3,5138E+14;False;39,55657257;Media
26;13421;avenida afranio peixoto 643 vila paulina;avenida  afranio peixoto 0 eldorado;avenida afranio peixoto 643 vila paulina;avenida  afranio peixoto 0 eldorado;"avenida  afranio peixoto 0 eldorado (81); avenida  afranio peixoto 0 eldorado (81); avenida  afranio peixoto 0 eldorado (81); avenida  afranio peixoto 27 eldorado (79); avenida  afranio peixoto 89 eldorado (79)";80,70175439;-23.729.499;-46.623.000;-23.732.198;-46.620.250;410,4025278;9971360;9971360;True;3,5138E+14;3,5138E+14;False;36,00247576;Media
12;89141;avn sao jose 472 centro;avenida sao jose 472 centro;avenida sao jose 472 centro;avenida sao jose 472 centro;;100;-23.689.086;-46.623.000;-23.689.076;-46.628.291;538,7601357;9910380;9910380;True;3,5138E+14;3,5138E+14;False;40;Baixa
34;102803;rua coimbra 760 centro;rua  coimbra 70 centro;rua coimbra 760 centro;rua  coimbra 70 centro;;97,6744186;-23.697.643;-46.629.555;-23.692.726;-46.630.752;560,1735468;9910120;9910120;True;3,5138E+14;3,5138E+14;False;39,30232558;Baixa
20;98493;av eldorado 817 jardim ruyce;avenida  eldorado 817 jardim ruyce;avenida eldorado 817 jardim ruyce;avenida  eldorado 817 jardim ruyce;;100;-23.710.703;-46.606.319;-23.710.919;-46.600.193;624,19265;9961470;9961540;False;3,5138E+14;3,5138E+14;True;80;Alta
30;87427;rua manoel da nobrega 605 vl conceicao;rua  manoel da nobrega 0 conceicao;rua manoel da nobrega 605 vila conceicao;rua  manoel da nobrega 0 conceicao;;96,875;-23.690.327;-46.623.089;-23.696.836;-46.627.956;877,1643069;9910720;9910720;True;3,5138E+14;3,5138E+14;False;39,0625;Baixa
33;112213;rua santo amaro 92 centro;rua santo amaro 92 centro;rua santo amaro 92 centro;rua santo amaro 92 centro;;100;-23.683.663;-46.623.000;-23.683.683;-46.632.346;951,7035998;9913090;9913090;True;3,5138E+14;3,5138E+14;True;90;Alta
4;70850;rua moaciar goulart cunha caldas 111 centro;rua  moacyr goulart cunha caldas 111 conceicao;rua moaciar goulart cunha caldas 111 centro;rua  moacyr goulart cunha caldas 111 conceicao;;86,36363636;-23.690.741;-46.625.979;-23.690.625;-46.616.203;995,487391;9911450;9911450;True;3,5138E+14;3,5138E+14;True;85,90909091;Alta
2;39597;av antonio piranga 614 centro;avenida  antonio piranga 61 centro;avenida antonio piranga 614 centro;avenida  antonio piranga 61 centro;;98,50746269;-23.686.369;-46.612.366;-23.686.363;-46.623.730;1157,159622;9911160;9911160;True;3,5138E+14;3,5138E+14;False;39,55223881;Baixa
23;11343;av lico maia 803 serraria;avenida  lico maia 803 serraria;avenida lico maia 803 serraria;avenida  lico maia 803 serraria;;100;-23.699.036;-46.623.000;-23.699.077;-46.610.001;1323,537055;9981420;9981030;False;3,5138E+14;3,5138E+14;True;80;Alta
9;74232;rua jose bonifacio 1641 serraria;rua  jose bonifacio 1641 serraria;rua jose bonifacio 1641 serraria;rua  jose bonifacio 1641 serraria;;100;-23.706.553;-46.623.000;-23.706.971;-46.609.694;1355,504382;9980150;9980150;True;3,5138E+14;3,5138E+14;True;90;Alta
1;50282;avenida antonio piranga 700 centro;avenida  antonio piranga 700 centro;avenida antonio piranga 700 centro;avenida  antonio piranga 700 centro;;100;-23.686.098;-46.603.650;-23.686.248;-46.618.424;1504,537368;9911160;9911160;True;3,5138E+14;3,5138E+14;True;90;Alta
17;43122;rua 22 de abril 113 jd canhema;rua  sete de abril 64 canhema;rua 22 de abril 113 jardim canhema;rua  sete de abril 64 canhema;"rua  sete de abril 64 canhema (83); rua  sete de abril 84 canhema (83); rua  sete de abril 84 canhema (83); rua  sete de abril 98 canhema (83); rua  sete de abril 80 canhema (83)";83,33333333;-23.678.010;-46.623.000;-23.681.764;-46.608.505;1533,953349;9941460;9941560;False;3,5138E+14;3,5138E+14;False;25;Incerto
16;165970;rua das ameixeiras 679 jd abc;rua  das ameixeiras 979 taboao;rua das ameixeiras 679 jardim abc;rua  das ameixeiras 979 taboao;"rua  das ameixeiras 979 taboao (81); rua  das ameixeiras 967 taboao (81); rua  das ameixeiras 1169 taboao (79); rua  das ameixeiras 941 taboao (77); rua  das ameixeiras 955 taboao (77)";80,64516129;-23.665.401;-46.623.000;-23.664.706;-46.599.807;2363,338166;9940400;9940400;True;3,5138E+14;3,5138E+14;False;34,19354839;Baixa
22;139970;rua prudente de morais 300 jardim casa grande;rua  prudente de morais 300 casa grande;rua prudente de morais 300 jardim casa grande;rua  prudente de morais 300 casa grande;;100;-23.695.878;-46.623.000;-23.695.952;-46.599.154;2428,018935;9960500;9960500;True;3,5138E+14;3,5138E+14;True;90;Alta
0;39597;av antonio piranga 614 centro;avenida  antonio piranga 61 centro;avenida antonio piranga 614 centro;avenida  antonio piranga 61 centro;;98,50746269;-23.686.369;-46.597.689;-23.686.363;-46.623.730;2651,704551;9911160;9911160;True;3,5138E+14;3,5138E+14;False;39,55223881;Baixa
14;162137;rua barao de iguape 98 vil sao jose;rua  iguape 98 taboao;rua barao de iguape 98 vil sao jose;rua  iguape 98 taboao;"rua  iguape 98 taboao (79); rua  iguape 98 taboao (79); rua  iguape 98 taboao (79); rua  iguape 98 taboao (79); rua barao de iguape 98 piraporinha (79)";78,78787879;-23.677.685;-46.584.901;-23.664.945;-46.614.370;3318,689316;9950430;9932180;False;3,5138E+14;3,5138E+14;False;23,63636364;Incerto
24;64219;avn presidente juscelino 759 piraporinha;avenida presidente juscelino 875 piraporinha;avenida presidente juscelino 759 piraporinha;avenida presidente juscelino 875 piraporinha;;97,72727273;-23.683.010;-46.623.000;-23.682.986;-46.588.410;3522,310841;9950810;9950370;False;3,5138E+14;3,5138E+14;False;29,31818182;Incerto
3;3541;rua dos cariris 195 piraporinha;rua  dos cariris 195 piraporinha;rua dos cariris 195 piraporinha;rua  dos cariris 195 piraporinha;;100;-23.689.318;-46.623.000;-23.689.450;-46.584.908;3878,757634;9951420;9951420;True;3,5138E+14;3,5138E+14;True;90;Alta
